StateFIPS,State,WIC_PART_2012,WIC_PART_2013,WIC_PART_2014,WIC_PART_2015,WIC_PART_2016,WIC_PART_2017,WIC_PART_2018,NSLP_PART_2012,NSLP_PART_2013,NSLP_PART_2014,NSLP_PART_2015,NSLP_PART_2016,NSLP_PART_2017,NSLP_PART_2018,SBP_PART_2012,SBP_PART_2013,SBP_PART_2014,SBP_PART_2015,SBP_PART_2016,SBP_PART_2017,SBP_PART_2018,CACFP_PART_2012,CACFP_PART_2013,CACFP_PART_2014,CACFP_PART_2015,CACFP_PART_2016,CACFP_PART_2017,CACFP_PART_2018,SFSP_PART_2012,SFSP_PART_2013,SFSP_PART_2014,SFSP_PART_2015,SFSP_PART_2016,SFSP_PART_2017,SFSP_PART_2018,State_Population_2012,State_Population_2013,State_Population_2014,State_Population_2015,State_Population_2016,State_Population_2017,State_Population_2018
1,Alabama,"141,900","139,001","131,046","132,133","129,160","123,993","120,605","562,959","539,664","531,099","531,305","525,931","511,643","499,631","224,490","224,173","236,580","254,270","266,952","271,324","267,372","42,904","41,863","45,039","51,264","59,448","61,362","65,638","26,077","30,308","42,484","49,715","48,691","51,622","51,222","4,815,564","4,830,460","4,842,481","4,853,160","4,864,745","4,875,120","4,887,871"
2,Alaska,"24,969","23,055","19,605","19,682","19,121","18,188","17,092","53,920","52,495","51,003","53,617","52,480","53,578","53,653","20,759","20,741","21,045","25,111","25,979","26,769","27,001","10,541","10,963","11,430","10,787","10,039","10,083","9,547","4,661","5,078","6,670","5,850","4,688","4,959","4,266","730,399","737,045","736,307","737,547","741,504","739,786","737,438"
4,Arizona,"193,214","182,501","173,020","167,072","163,998","153,510","149,513","662,440","646,767","644,173","647,426","641,045","638,136","627,716","274,596","289,520","300,355","308,742","315,992","314,726","313,831","41,671","42,945","40,344","42,552","42,618","42,285","49,678","27,554","23,688","23,209","14,763","13,924","12,301","14,701","6,556,629","6,634,999","6,733,840","6,833,596","6,945,452","7,048,876","7,171,646"
5,Arkansas,"94,293","89,777","83,289","84,220","80,555","76,519","73,607","348,909","332,497","327,469","320,921","317,039","314,201","311,041","162,018","166,376","172,605","180,121","183,707","184,851","189,762","55,787","67,630","76,841","67,985","66,903","63,450","57,043","26,217","41,946","45,837","31,081","35,767","23,544","18,211","2,952,109","2,959,549","2,967,726","2,978,407","2,990,410","3,002,997","3,013,825"
6,California,"1,472,468","1,431,881","1,348,939","1,265,005","1,174,875","1,080,241","1,009,492","3,355,494","3,294,580","3,280,733","3,271,744","3,251,959","3,215,762","3,177,216","1,406,620","1,517,341","1,645,890","1,691,159","1,722,909","1,727,064","1,706,654","362,931","451,422","511,863","562,667","595,088","617,882","624,624","104,384","114,689","115,912","128,025","123,477","152,251","144,780","37,960,782","38,280,824","38,625,139","38,953,142","39,209,127","39,399,349","39,557,045"
8,Colorado,"103,769","96,874","91,991","90,954","86,999","84,582","85,258","389,955","375,033","372,675","378,229","376,744","368,668","367,376","142,956","155,733","168,992","185,014","187,318","183,179","179,740","32,550","32,507","31,817","43,320","43,663","43,823","42,452","16,646","17,933","19,076","20,180","19,909","27,258","25,979","5,193,721","5,270,482","5,351,218","5,452,107","5,540,921","5,615,902","5,695,564"
9,Connecticut,"56,584","54,248","52,561","51,295","49,155","47,830","47,297","296,699","280,253","283,110","288,268","288,156","283,198","278,108","86,529","87,971","93,277","101,003","108,076","108,240","107,818","20,326","20,780","20,480","21,873","22,722","22,712","24,298","10,185","12,171","17,274","28,276","28,038","32,655","31,519","3,594,395","3,594,915","3,594,783","3,587,509","3,578,674","3,573,880","3,572,665"
10,Delaware,"22,214","20,797","19,873","18,998","18,097","17,162","16,797","96,040","94,571","94,943","97,995","98,528","98,977","97,980","38,624","39,522","41,137","47,980","51,378","52,746","52,919","18,367","19,016","18,886","19,987","20,583","22,323","23,907","14,366","8,190","9,935","10,425","11,906","15,422","14,840","915,188","923,638","932,596","941,413","949,216","957,078","967,171"
11,District of Columbia,"16,474","15,674","14,501","14,526","14,363","13,580","12,466","47,735","50,569","50,809","52,668","53,886","52,711","56,104","33,281","34,873","34,874","34,499","35,798","35,029","37,501","7,828","4,990","5,765","5,581","17,594","30,604","28,545","36,158","34,778","39,449","28,713","28,463","15,494","12,605","634,725","650,431","662,513","675,254","686,575","695,691","702,455"
12,Florida,"495,405","483,565","466,736","483,811","481,520","468,867","450,624","1,653,680","1,638,775","1,651,221","1,675,730","1,704,153","1,715,885","1,752,674","711,285","750,969","773,081","786,513","832,401","855,037","866,111","210,497","223,791","248,434","269,541","299,779","302,110","311,957","137,796","145,389","155,570","163,418","251,595","229,220","212,179","19,326,230","19,563,166","19,860,330","20,224,249","20,629,982","20,976,812","21,299,325"
13,Georgia,"303,875","289,524","271,416","264,299","253,653","237,224","217,695","1,287,033","1,245,368","1,236,304","1,236,154","1,224,627","1,211,207","1,190,338","620,655","608,138","626,650","626,930","646,702","649,924","646,452","135,286","138,070","141,105","141,702","141,950","143,991","145,731","84,854","71,557","98,044","101,239","88,156","88,446","93,839","9,901,496","9,973,326","10,069,001","10,181,111","10,304,763","10,413,055","10,519,475"
15,Hawaii,"37,169","36,370","33,923","31,616","30,117","26,856","26,115","113,618","113,609","113,981","109,590","106,993","103,947","102,751","38,943","38,466","37,597","37,813","36,454","34,766","32,405","10,069","10,123","10,739","11,391","11,173","10,932","10,626","5,134","5,324","6,010","5,860","5,544","6,350","6,482","1,394,905","1,408,453","1,414,862","1,422,484","1,428,105","1,424,203","1,420,491"
16,Idaho,"43,751","43,292","41,423","40,506","39,010","36,526","33,717","170,127","160,189","158,274","157,016","157,149","155,249","151,937","77,706","75,368","76,040","77,465","80,395","78,542","75,085","8,546","10,694","11,343","11,667","12,051","12,157","11,992","21,114","20,959","26,932","19,775","18,989","21,325","20,392","1,595,441","1,611,530","1,631,479","1,651,523","1,682,930","1,718,904","1,754,208"
17,Illinois,"288,939","280,463","265,923","247,594","225,159","211,367","199,360","1,142,443","1,124,196","1,124,756","1,108,555","1,084,030","1,059,266","1,044,213","395,045","416,091","419,947","423,306","431,275","424,740","439,344","127,321","129,335","133,868","141,449","142,879","140,116","139,956","55,586","54,067","69,897","70,835","57,945","96,032","91,102","12,884,119","12,898,269","12,888,962","12,864,342","12,826,895","12,786,196","12,741,080"
18,Indiana,"164,281","159,525","155,323","154,485","147,906","143,975","143,730","801,376","781,172","774,693","768,262","754,995","743,331","734,633","256,202","259,036","260,521","272,047","280,446","283,075","283,659","71,209","79,035","71,835","81,678","86,470","93,763","94,214","54,466","58,664","66,164","64,068","55,841","55,778","51,645","6,537,640","6,568,367","6,593,533","6,608,296","6,633,344","6,660,082","6,691,878"
19,Iowa,"69,159","65,876","63,767","63,481","61,163","61,996","60,249","395,600","384,195","383,565","381,699","381,877","377,927","373,034","93,108","94,781","93,852","98,260","103,663","103,258","102,433","38,916","38,978","39,403","44,130","43,174","43,434","42,862","11,109","13,607","16,016","16,703","18,296","18,475","21,739","3,076,097","3,093,078","3,109,504","3,121,460","3,131,785","3,143,637","3,156,145"
20,Kansas,"74,761","70,615","65,699","62,850","58,955","54,135","50,681","361,686","348,152","346,298","345,398","342,540","338,077","333,287","107,459","111,453","113,862","115,827","119,169","120,177","118,837","49,973","47,874","49,259","49,898","49,186","47,665","48,456","20,026","25,237","25,597","28,280","29,882","28,251","29,200","2,885,361","2,893,510","2,900,896","2,909,502","2,911,263","2,910,689","2,911,505"
21,Kentucky,"132,698","129,923","121,682","116,179","111,926","107,885","101,743","549,534","532,791","529,401","525,266","528,663","525,319","515,845","269,771","276,997","278,707","283,065","303,016","311,921","317,906","47,689","52,232","55,599","56,812","63,473","65,951","72,216","33,091","20,189","33,222","33,013","41,667","69,912","80,847","4,386,381","4,404,817","4,414,483","4,425,999","4,438,229","4,453,874","4,468,402"
22,Louisiana,"145,346","139,856","130,399","128,935","127,387","119,747","112,362","588,505","565,262","554,244","548,567","548,136","550,544","548,065","267,442","265,628","264,461","267,794","275,217","283,969","290,695","63,843","64,583","91,941","104,559","96,563","93,672","92,376","32,216","40,912","39,824","36,126","32,641","28,429","25,360","4,600,814","4,624,577","4,644,204","4,664,851","4,678,215","4,670,818","4,659,978"
23,Maine,"25,690","24,380","22,947","21,781","20,806","19,364","18,320","107,179","100,839","99,412","100,272","99,422","97,730","96,195","44,366","44,986","47,007","48,564","50,073","50,073","50,400","11,089","10,648","10,533","11,100","11,035","10,269","10,975","9,169","10,553","11,756","13,327","14,057","15,298","15,036","1,327,691","1,328,196","1,330,760","1,328,484","1,331,370","1,335,063","1,338,404"
24,Maryland,"146,272","144,628","140,467","142,841","139,576","132,843","128,542","434,140","422,746","423,560","434,525","446,283","445,433","443,270","191,429","211,676","236,001","264,718","277,329","271,670","265,043","57,085","64,500","78,427","95,690","102,314","95,851","84,804","57,720","73,830","65,483","70,273","73,858","68,087","68,468","5,887,072","5,923,704","5,958,165","5,986,717","6,004,692","6,024,891","6,042,718"
25,Massachusetts,"122,568","119,952","115,110","113,262","114,419","112,763","108,593","534,456","514,436","515,506","528,262","531,647","529,822","527,937","149,885","151,474","158,634","175,493","192,889","204,475","210,411","63,771","66,777","69,978","75,134","84,011","83,086","81,739","48,764","46,751","49,027","59,617","59,753","58,161","57,134","6,663,158","6,713,944","6,763,652","6,795,891","6,826,022","6,863,246","6,902,149"
26,Michigan,"255,954","254,126","251,716","244,829","234,546","224,106","213,964","907,684","874,098","860,197","842,734","823,888","801,891","793,469","379,452","381,516","388,782","399,350","404,077","402,252","399,205","82,241","79,846","88,593","95,674","100,775","96,980","96,470","73,133","76,198","82,035","91,011","84,420","89,963","87,213","9,896,930","9,913,349","9,930,589","9,932,573","9,951,890","9,976,447","9,995,915"
27,Minnesota,"128,436","124,745","121,755","119,403","116,031","111,121","105,961","627,405","608,867","610,476","613,987","616,257","613,846","610,081","179,212","181,891","190,674","214,845","225,106","233,298","237,727","94,046","90,492","89,155","93,570","90,896","92,836","98,978","45,958","45,966","50,238","52,801","54,869","60,312","61,576","5,376,550","5,413,693","5,451,522","5,482,503","5,523,409","5,568,155","5,611,179"
28,Mississippi,"94,773","91,652","87,973","89,449","84,867","83,857","85,449","398,654","391,574","389,497","384,628","381,642","371,355","361,804","207,859","207,305","206,865","203,931","205,115","203,724","200,119","41,387","41,517","41,951","43,352","43,434","50,680","51,052","28,027","26,916","34,215","36,528","35,412","38,529","45,250","2,983,767","2,988,797","2,990,623","2,988,693","2,988,298","2,989,663","2,986,530"
29,Missouri,"145,900","140,821","138,657","134,780","127,551","119,620","114,323","638,943","610,370","604,484","603,693","598,665","586,909","578,290","257,271","263,352","271,369","280,750","288,215","283,779","288,907","68,461","67,817","65,767","66,865","70,138","72,504","82,986","27,147","27,008","39,540","40,411","38,828","44,018","39,653","6,024,081","6,040,658","6,056,293","6,071,745","6,087,203","6,108,612","6,126,452"
30,Montana,"20,457","19,848","19,227","18,476","18,296","17,445","16,682","86,705","84,069","83,248","81,872","82,747","82,175","80,856","28,134","28,155","28,944","31,311","32,761","34,182","38,371","13,511","13,373","13,246","13,788","13,345","13,733","13,227","6,663","7,615","9,232","9,037","9,920","9,323","12,645","1,003,754","1,013,564","1,021,891","1,030,503","1,040,863","1,053,090","1,062,305"
31,Nebraska,"42,727","40,151","39,211","37,601","38,125","37,440","35,833","251,186","243,120","242,273","241,037","242,254","242,852","244,089","66,641","66,556","68,913","70,327","75,387","77,356","80,334","44,633","45,305","45,392","44,737","43,424","42,808","40,718","9,836","9,879","9,635","12,177","8,851","10,168","10,376","1,853,323","1,865,414","1,879,522","1,891,507","1,905,924","1,917,575","1,929,268"
32,Nevada,"76,108","75,011","74,262","73,144","70,467","66,625","62,531","218,552","215,821","212,395","216,392","222,218","224,528","227,933","87,213","92,738","90,758","93,944","121,311","139,251","135,805","13,842","14,492","13,544","16,423","17,042","27,621","24,693","6,865","9,716","12,322","11,966","11,840","8,309","8,524","2,744,566","2,776,972","2,819,012","2,868,666","2,919,772","2,972,405","3,034,392"
33,New Hampshire,"16,299","15,679","14,736","14,705","14,121","13,064","12,332","104,546","97,396","91,812","88,737","85,946","83,276","80,656","24,251","22,497","22,112","20,577","21,661","21,052","21,702","7,979","8,689","9,272","9,104","9,269","10,526","10,771","4,948","14,659","16,434","15,304","15,203","13,567","12,693","1,323,962","1,326,408","1,333,223","1,336,294","1,342,373","1,349,767","1,356,458"
34,New Jersey,"172,333","167,873","163,049","161,664","155,285","147,937","141,568","729,252","694,175","688,988","695,703","695,986","694,111","689,594","218,062","242,578","273,430","302,631","322,974","326,874","324,406","75,913","79,690","79,312","83,352","90,222","90,993","86,513","52,652","59,505","53,096","48,516","58,308","62,069","71,684","8,845,483","8,858,362","8,866,780","8,870,869","8,874,516","8,888,543","8,908,520"
35,New Mexico,"63,844","61,352","58,313","55,234","51,902","49,975","46,187","227,863","220,187","215,567","216,778","219,437","217,324","213,970","150,554","148,155","149,229","149,737","155,743","149,960","147,137","36,630","36,382","34,556","35,608","36,004","36,330","35,539","38,463","22,386","29,302","29,383","28,415","25,009","29,633","2,087,549","2,092,792","2,090,342","2,090,211","2,092,789","2,093,395","2,095,428"
36,New York,"524,148","513,299","485,825","471,869","459,101","435,382","416,173","1,796,235","1,723,748","1,697,757","1,698,511","1,679,716","1,663,296","1,680,432","644,136","641,178","660,112","673,332","724,859","759,450","772,481","297,400","295,653","311,604","325,427","349,885","311,430","304,388","369,027","393,066","460,352","438,926","416,339","416,749","422,813","19,574,549","19,628,043","19,656,330","19,661,411","19,641,589","19,590,719","19,542,209"
37,North Carolina,"269,335","264,755","255,672","248,860","241,288","230,660","221,719","942,745","906,460","889,937","903,946","892,867","866,759","851,197","405,295","419,976","432,595","455,909","465,467","464,599","456,289","116,996","115,084","119,814","124,404","127,955","127,242","130,174","92,476","98,255","109,853","63,390","68,731","87,982","90,483","9,749,123","9,843,599","9,933,944","10,033,079","10,156,679","10,270,800","10,383,620"
38,North Dakota,"13,661","13,273","12,814","12,415","12,884","12,729","12,313","85,078","87,065","89,194","90,355","91,374","91,950","93,071","23,292","23,805","23,947","24,948","26,228","26,520","28,014","16,240","16,818","16,921","17,744","17,810","17,318","16,472","2,184","2,454","2,497","3,997","4,011","3,579","5,257","701,116","721,999","737,382","754,022","754,353","755,176","760,077"
39,Ohio,"275,627","263,683","250,370","244,201","234,719","221,746","208,955","1,114,371","1,063,939","1,051,279","1,019,834","1,013,673","994,189","984,750","418,371","422,862","428,384","433,618","450,165","449,465","450,290","124,905","122,551","118,292","115,070","116,330","115,882","116,061","64,450","60,307","51,126","50,990","51,339","64,698","65,578","11,548,369","11,576,576","11,602,973","11,617,850","11,635,003","11,664,129","11,689,442"
40,Oklahoma,"123,070","118,552","114,490","112,892","110,725","105,846","98,551","446,144","437,992","439,386","440,445","447,425","442,478","440,851","227,417","227,754","226,575","225,685","232,765","231,254","229,568","54,327","53,632","52,954","53,309","55,330","58,253","63,207","11,390","11,315","16,850","16,793","13,502","13,222","13,418","3,818,600","3,853,205","3,878,367","3,909,831","3,926,769","3,932,640","3,943,079"
41,Oregon,"111,648","107,859","103,227","98,304","92,792","89,534","85,774","307,110","293,387","288,242","294,408","303,164","297,120","293,894","142,435","139,697","139,400","141,972","146,581","144,676","147,043","46,211","44,570","46,407","48,025","49,086","49,632","48,178","40,815","38,653","41,368","39,454","38,390","37,979","35,802","3,899,118","3,922,908","3,964,106","4,016,918","4,091,404","4,146,592","4,190,713"
42,Pennsylvania,"253,011","253,258","248,761","245,979","237,205","226,060","218,188","1,127,530","1,066,255","1,040,557","1,034,974","1,029,008","1,021,178","1,017,566","343,326","345,082","346,513","354,807","385,959","394,395","406,449","163,791","135,342","135,570","145,039","146,832","159,262","156,001","103,651","96,893","75,324","78,961","71,015","81,220","81,373","12,766,827","12,776,621","12,789,101","12,785,759","12,783,538","12,790,447","12,807,060"
44,Rhode Island,"24,261","23,416","22,139","20,728","20,375","19,501","18,950","79,747","77,353","76,867","76,254","77,882","77,399","76,331","32,981","32,531","32,832","32,379","34,153","34,464","33,564","9,372","9,192","9,515","9,893","9,707","9,470","9,209","8,221","8,188","9,612","10,705","10,963","10,885","10,824","1,054,601","1,055,122","1,056,017","1,056,173","1,057,063","1,056,486","1,057,315"
45,South Carolina,"130,525","124,287","113,179","114,562","107,257","99,332","92,153","492,878","478,054","474,023","483,026","478,436","472,538","472,200","272,398","273,443","270,341","266,238","268,232","267,280","268,139","33,469","35,514","36,367","39,243","39,241","40,176","50,684","56,178","56,172","71,257","66,560","61,654","35,127","49,713","4,717,112","4,764,153","4,823,793","4,892,253","4,958,235","5,021,219","5,084,127"
46,South Dakota,"22,153","20,430","19,573","19,474","19,120","18,367","17,667","107,367","106,252","107,749","107,352","108,324","107,494","106,446","27,503","28,026","28,420","28,943","30,048","29,734","29,612","14,751","14,372","14,107","17,892","18,121","15,380","14,898","5,518","6,060","5,891","5,891","5,741","5,950","6,721","833,496","842,270","849,088","853,933","862,890","873,286","882,235"
47,Tennessee,"162,775","159,426","153,742","150,116","143,730","136,303","127,814","687,452","656,847","649,935","676,703","671,671","656,161","653,668","333,403","350,108","361,070","376,866","395,114","390,008","386,907","68,258","70,148","68,795","73,420","78,126","86,604","87,587","32,434","41,923","48,636","46,923","39,483","68,964","66,084","6,451,281","6,493,432","6,540,826","6,590,808","6,645,011","6,708,794","6,770,010"
48,Texas,"969,893","955,072","916,461","886,409","859,819","821,873","746,246","3,374,154","3,314,594","3,322,512","3,379,271","3,377,166","3,348,977","3,342,253","1,786,414","1,818,710","1,864,869","1,902,636","1,928,262","1,909,051","1,918,383","351,922","369,515","410,908","474,923","546,727","594,860","670,945","176,587","180,355","181,174","139,673","126,660","113,922","144,853","26,089,620","26,489,464","26,977,142","27,486,814","27,937,492","28,322,717","28,701,845"
49,Utah,"69,641","66,726","61,259","58,995","56,584","53,748","48,989","348,886","331,693","330,223","334,253","334,438","335,493","333,362","74,580","74,310","75,285","76,546","84,557","87,312","86,015","31,560","32,788","33,196","34,852","32,898","32,950","32,658","13,670","13,186","11,015","6,803","7,813","7,514","3,355","2,853,467","2,897,927","2,937,399","2,982,497","3,042,613","3,103,118","3,161,105"
50,Vermont,"15,471","14,836","14,227","13,733","12,756","11,558","11,427","54,209","51,537","50,500","49,159","48,450","47,101","46,481","23,523","22,926","22,934","22,704","24,305","24,709","25,458","7,914","9,011","9,808","10,354","11,581","17,303","13,377","6,556","6,654","7,577","8,018","8,754","9,328","9,759","626,063","626,212","625,218","625,197","623,644","624,525","626,299"
51,Virginia,"159,137","155,935","144,598","139,632","132,404","122,185","113,952","749,115","717,618","708,105","702,670","702,343","694,908","702,413","271,107","272,470","276,308","284,825","309,950","329,202","351,365","70,997","65,338","66,058","68,506","71,045","104,110","112,418","54,339","55,519","57,306","57,328","59,073","73,284","77,137","8,185,229","8,253,053","8,312,076","8,362,907","8,410,946","8,465,207","8,517,685"
53,Washington,"194,706","191,753","183,405","176,133","168,878","157,453","145,015","540,435","519,599","522,871","518,077","521,146","523,214","517,572","186,266","183,975","187,886","188,330","193,262","195,547","199,596","75,387","65,756","71,528","79,762","80,269","83,468","79,603","41,012","40,365","46,219","43,904","42,510","42,470","44,507","6,892,876","6,962,906","7,052,439","7,163,543","7,294,680","7,425,432","7,535,591"
54,West Virginia,"47,891","46,402","43,763","41,701","40,391","38,315","35,412","201,333","194,032","192,152","194,293","193,201","191,544","186,269","114,120","116,981","131,580","150,198","154,201","155,964","149,357","24,123","24,984","24,069","24,444","24,774","23,831","24,037","13,251","11,930","12,290","10,118","9,432","8,519","9,964","1,856,764","1,853,873","1,849,467","1,841,996","1,830,929","1,817,048","1,805,832"
55,Wisconsin,"118,585","113,763","108,901","105,504","100,152","95,958","92,487","596,222","562,217","550,476","541,767","527,339","510,633","500,434","172,949","173,059","177,052","185,094","192,092","190,114","192,102","60,128","59,572","61,315","61,147","61,481","59,831","58,051","87,538","88,294","97,600","94,796","90,176","54,672","51,806","5,719,855","5,736,952","5,751,974","5,761,406","5,772,958","5,792,051","5,813,568"
56,Wyoming,"12,602","11,980","11,629","10,995","10,783","10,159","9,062","56,578","53,764","52,885","51,854","50,876","49,905","48,141","15,703","14,914","14,860","14,683","15,385","15,707","16,404","9,428","8,244","8,221","8,070","7,533","7,069","6,903","3,079","3,516","3,529","4,334","3,734","4,620","4,671","576,270","582,123","582,548","585,668","584,290","578,934","577,737"
